"Indicator","Economy","Unit of Measure","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","Definition","Data Coverage","Calendar Year","Base Year","Source","Footnotes"
"Manufacturing at current prices","China, People's Republic of","Chinese Yuan","4025850000000","4385430000000","4777490000000","5536220000000","6577490000000","7795830000000","9223580000000","11169080000000","13172400000000","13809260000000","16512310000000","19513910000000","20890140000000","22233320000000","23319740000000","23496890000000","24540640000000","27511930000000","30108930000000","31185870000000","31290290000000","37454560000000","39504370000000","39910310000000","...","Manufacturing represents the economic activities of Section C Manufacturing (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","National Bureau of Statistics","For 2000–2023: Includes mining and quarrying; electricity, gas, steam, and air-conditioning supply; water supply; and sewerage, waste management, and remediation activities."
"Manufacturing at current prices","Cook Islands","","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","","","","","",""
"Manufacturing at current prices","Fiji","Fijian Dollar","438400000","515100000","519200000","511300000","598700000","615678000","682120000","675031000","682529210.2","695062499.7","745019949.2","807119905.8","822020340.2","892435323.5","976666071.4","1030944376","1128960665","1155859402","1210210761","1220492800","1063700000","1016500000","1096900000","...","...","Manufacturing represents the economic activities of Section C Manufacturing (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","Bureau of Statistics","For 2005, 2008, 2011, and 2014: Figures are current basic prices."
"Manufacturing at current prices","Georgia","Georgian Lari","739990400","816234730","954699960","1116064880","1200745620","1405521970","1533184580","1860471020","1991997790","1785697120","2009000000","2467000000","2663000000","2687000000","2922000000","3192000000","2845000000","3626000000","4110000000","4389000000","4694000000","6021000000","7084000000","6625000000","...","Manufacturing represents the economic activities of Section C Manufacturing (see ISIC Rev 4).","From 2000 to 2024","Ending 31 December","","National Statistics Office (formerly Department of Statistics)","For 2010–2023: GeoStat revised the data of Gross Domestic Product (GDP) and National Accounts on February 2024. Data revision includes the historical series since 2010.  The base year  was changed from 2015 to 2019."
"Manufacturing at current prices","Hong Kong, China","Hong Kong Dollar","61399000000","53575000000","45773000000","39022000000","39468000000","39646000000","39685000000","32365000000","31506000000","28714000000","30410000000","30578000000","30600000000","30156000000","27885000000","26716000000","26844000000","27299000000","27571000000","29366000000","25525000000","26175000000","26598000000","...","...","Manufacturing represents the economic activities of Section C Manufacturing (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","Census and Statistics Department Hong Kong Special Administrative Region of PRC","For 2000–2022: The overall GDP level compiled using the expenditure approach is adopted as the single measure of GDP. The sum of value-added of respective economic activities at current basic prices plus taxes on products plus statistical discrepancy is equal to the GDP by expenditure component at current market prices."
"Manufacturing at current prices","India","Indian Rupee","3408200865000","3543947322000","3878183440000","4352824704000","5043085837000","5801598911000","7362062499000","8261381830000","9428469483000","10914298500000","13001455800000","14099860000000","15728370000000","17134520000000","18783690000000","21461890000000","23337210000000","25666233640000","28125599560000","27051007680000","28034947190000","33926047950000","35364612600000","38197485470000","...","Manufacturing represents the economic activities of Section C Manufacturing (see ISIC Rev 4).","From 2000 to 2024","Beginning 1 April","","National Statistical Office",""
"Manufacturing at current prices","Indonesia","Indonesian Rupiah","3.855979E+14","4.783114E+14","5.231996E+14","5.689203E+14","6.443426E+14","7.603613E+14","9.195393E+14","1.0686539E+15","1.3764417E+15","1.477541E+15","1.5127608E+15","1.7042505E+15","1.8481509E+15","2.0074268E+15","2.227584E+15","2.4188917E+15","2.5452036E+15","2.7397119E+15","2.9474508E+15","3.1195938E+15","3.0680417E+15","3.2669055E+15","3.5917747E+15","3.9000617E+15","...","Manufacturing represents the economic activities of Section C Manufacturing (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","BPS Statistics Indonesia","For 2010–2023: Data are based on the 2008 System of National Accounts. Base year was also changed from 2000 to 2010."
"Manufacturing at current prices","Japan","Japanese Yen","1.202131E+14","1.122838E+14","1.086442E+14","1.095992E+14","1.118126E+14","1.140828E+14","1.145226E+14","1.179706E+14","1.122894E+14","94274300000000","1.049795E+14","97179400000000","98426900000000","98326900000000","1.016538E+14","1.100947E+14","1.104409E+14","1.130257E+14","1.147865E+14","1.128329E+14","1.08245E+14","1.152415E+14","1.076178E+14","...","...","Manufacturing represents the economic activities of Section C Manufacturing (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","Economic and Social Research Institute",""
"Manufacturing at current prices","Kazakhstan","Kazakhstani Tenge","428932700000","534563000000","547414100000","655719000000","781558700000","914013200000","1188108000000","1476647600000","1890053000000","1849097500000","2469804100000","3131187000000","3436730500000","3828486900000","4093849100000","4201012100000","5321896900000","6134020500000","7065121600000","7972864100000","9235617600000","11424765700000","13929790700000","14543670800000","...","Manufacturing represents the economic activities of Section C Manufacturing (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","Agency for Strategic Planning and Reforms of the Republic of Kazakhstan","For 2011–2023: Estimates are in accordance with the 2008 System of National Accounts, where financial intermediation services indirectly measured are no longer compiled as a notional industry. For 2017–2023: Calculations were made in accordance with the new methodology for assessing the unobserved economy, registered in the Ministry of Justice of the Republic of Kazakhstan No.19215 of 08.08.2019."
"Manufacturing at current prices","Kiribati","Australian Dollar","5695676.8271938","5799010.8121355","6244655.2659189","5950050.2849275","6166009.131592","6944597.8567215","6788589.7066825","8838542.4936411","9146404.6867","8840035.7478998","10489486.203011","11368450.216962","10572877.164218","10470605.990694","11461875.6066","11626787.625842","13636951.187587","15056983.822996","17102038.461454","15543628.800014","17520683.798549","21019696.07553","19166148.966411","...","...","Manufacturing represents the economic activities of Section C Manufacturing (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","Kiribati National Statistics Office",""
"Manufacturing at current prices","Korea, Republic of","Korean Won","1.723467E+14","1.759003E+14","1.92149E+14","2.02006E+14","2.372699E+14","2.464201E+14","2.544712E+14","2.776776E+14","2.957351E+14","3.106772E+14","3.629082E+14","3.921914E+14","4.008103E+14","4.170154E+14","4.226543E+14","4.411335E+14","4.588306E+14","4.946449E+14","5.056502E+14","4.854012E+14","4.809174E+14","5.301696E+14","5.541051E+14","5.436638E+14","...","Manufacturing represents the economic activities of Section C Manufacturing (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","Bank of Korea","For 2000–2023: Aggregates for GDP were revised as a result of the implementation of the System of National Accounts 2008."
